granularity,period,factor,return,percentile,rank,is_best
week,2015-W10,gtja191/alpha_168,0.23705,0.549,20,0
week,2015-W10,qlib158/ma10,0.22139,0.5325,21,0
week,2015-W10,alpha101/alpha_027,0.19817,0.4919,22,0
week,2015-W10,qlib158/vsumn20,0.19661,0.4849,23,0
week,2015-W10,alpha101/alpha_080,0.1934,0.4665,24,0
week,2015-W10,qlib158/cntn5,0.18845,0.4549,25,0
week,2015-W10,alpha101/alpha_088,0.18252,0.4335,26,0
week,2015-W10,gtja191/alpha_041,0.17701,0.4111,27,0
week,2015-W10,qlib158/min10,0.17306,0.3951,28,0
week,2015-W10,alpha101/alpha_004,0.16422,0.3641,29,0
week,2015-W10,gtja191/alpha_006,0.14821,0.2995,30,0
week,2015-W11,gtja191/alpha_001,0.35997,0.7321,1,1
week,2015-W11,gtja191/alpha_008,0.34267,0.7172,2,0
week,2015-W11,alpha101/alpha_055,0.32264,0.6662,3,0
week,2015-W11,gtja191/alpha_037,0.33311,0.6568,4,0
week,2015-W11,qlib158/vsumn20,0.32048,0.6546,5,0
week,2015-W11,alpha101/alpha_023,0.31682,0.6543,6,0
week,2015-W11,gtja191/alpha_168,0.30622,0.6508,7,0
week,2015-W11,gtja191/alpha_048,0.30447,0.649,8,0
week,2015-W11,alpha101/alpha_016,0.30504,0.6347,9,0
week,2015-W11,alpha101/alpha_015,0.29246,0.6185,10,0
week,2015-W11,alpha101/alpha_024,0.30422,0.6085,11,0
week,2015-W11,alpha101/alpha_044,0.28135,0.5858,12,0
week,2015-W11,alpha101/alpha_002,0.27717,0.5814,13,0
week,2015-W11,qlib158/min10,0.26941,0.5702,14,0
week,2015-W11,gtja191/alpha_090,0.27881,0.5689,15,0
week,2015-W11,qlib158/vsumn30,0.27356,0.5653,16,0
week,2015-W11,gtja191/alpha_026,0.28903,0.5631,17,0
week,2015-W11,alpha101/alpha_004,0.26613,0.5578,18,0
week,2015-W11,qlib158/cntn5,0.26545,0.5562,19,0
week,2015-W11,gtja191/alpha_025,0.27559,0.5477,20,0
week,2015-W11,alpha101/alpha_088,0.26041,0.5458,21,0
week,2015-W11,alpha101/alpha_084,0.283,0.5425,22,0
week,2015-W11,gtja191/alpha_016,0.2662,0.5389,23,0
week,2015-W11,alpha101/alpha_026,0.26055,0.5358,24,0
week,2015-W11,qlib158/vma10,0.25799,0.5211,25,0
week,2015-W11,alpha101/alpha_069,0.25145,0.4888,26,0
week,2015-W11,qlib158/vsumn5,0.23728,0.4823,27,0
week,2015-W11,qlib158/ma10,0.24171,0.4814,28,0
week,2015-W11,gtja191/alpha_157,0.24547,0.4782,29,0
week,2015-W11,alpha101/alpha_027,0.23592,0.4773,30,0
week,2015-W11,alpha101/alpha_067,0.24278,0.4713,31,0
week,2015-W11,gtja191/alpha_006,0.22892,0.4461,32,0
week,2015-W11,alpha101/alpha_080,0.21069,0.3904,33,0
week,2015-W11,gtja191/alpha_041,0.20772,0.3816,34,0
week,2015-W12,qlib158/vma10,0.28758,0.7637,1,1
week,2015-W12,gtja191/alpha_016,0.26017,0.7179,2,0
