granularity,period,factor,return,percentile,rank,is_best
week,2016-W33,reversal,-0.05095,0.3779,2,0
week,2016-W33,momentum,-0.12587,0.074,3,0
week,2016-W34,lowvol,-0.005,0.5852,1,1
week,2016-W34,reversal,-0.03616,0.3832,2,0
week,2016-W34,momentum,-0.12596,0.0935,3,0
week,2016-W35,lowvol,0.00243,0.5868,1,1
week,2016-W35,momentum,-0.01212,0.4865,2,0
week,2016-W35,reversal,-0.03488,0.3448,3,0
week,2016-W36,momentum,0.01999,0.5484,1,1
week,2016-W36,lowvol,-0.0095,0.4483,2,0
week,2016-W36,reversal,-0.01913,0.3708,3,0
week,2016-W37,momentum,0.06264,0.6016,1,1
week,2016-W37,reversal,0.04264,0.5063,2,0
week,2016-W37,lowvol,0.01052,0.2981,3,0
week,2016-W38,momentum,0.0738,0.7282,1,1
week,2016-W38,reversal,0.03581,0.5612,2,0
week,2016-W38,lowvol,0.01909,0.4137,3,0
week,2016-W39,momentum,0.1382,0.8503,1,1
week,2016-W39,reversal,0.12611,0.8271,2,0
week,2016-W39,lowvol,0.02154,0.3455,3,0
week,2016-W41,reversal,0.15781,0.8981,1,1
week,2016-W41,momentum,0.12638,0.8689,2,0
week,2016-W41,lowvol,0.01524,0.4702,3,0
week,2016-W42,momentum,0.10338,0.7706,1,1
week,2016-W42,reversal,0.05436,0.5975,2,0
week,2016-W42,lowvol,0.01766,0.397,3,0
week,2016-W43,momentum,0.12007,0.818,1,1
week,2016-W43,lowvol,0.02462,0.4957,2,0
week,2016-W43,reversal,0.00782,0.3873,3,0
week,2016-W44,lowvol,0.04398,0.6945,1,1
week,2016-W44,reversal,-0.0114,0.3422,2,0
week,2016-W44,momentum,-0.04356,0.2046,3,0
week,2016-W45,lowvol,0.03131,0.7774,1,1
week,2016-W45,reversal,-0.05003,0.2842,2,0
week,2016-W45,momentum,-0.10929,0.1064,3,0
week,2016-W46,lowvol,0.00786,0.8554,1,1
week,2016-W46,reversal,-0.16181,0.1445,2,0
week,2016-W46,momentum,-0.2313,0.0227,3,0
week,2016-W47,lowvol,-0.02662,0.7477,1,1
week,2016-W47,reversal,-0.0689,0.4889,2,0
week,2016-W47,momentum,-0.20486,0.0437,3,0
week,2016-W48,lowvol,-0.04948,0.588,1,1
week,2016-W48,reversal,-0.07553,0.42,2,0
week,2016-W48,momentum,-0.12927,0.1791,3,0
week,2016-W49,lowvol,-0.01053,0.6053,1,1
week,2016-W49,reversal,-0.05968,0.3422,2,0
week,2016-W49,momentum,-0.09405,0.271,3,0
week,2016-W50,reversal,0.03744,0.7172,1,1
week,2016-W50,lowvol,-0.02637,0.3634,2,0
week,2016-W50,momentum,-0.21481,0.0221,3,0
week,2016-W51,lowvol,-0.00706,0.7327,1,1
week,2016-W51,reversal,-0.13857,0.1864,2,0
week,2016-W51,momentum,-0.15821,0.1327,3,0
week,2016-W52,lowvol,0.0156,0.7494,1,1
week,2016-W52,momentum,-0.03932,0.5113,2,0
week,2016-W52,reversal,-0.08879,0.2568,3,0
week,2017-W01,lowvol,0.01916,0.7778,1,1
week,2017-W01,momentum,-0.00656,0.6185,2,0
week,2017-W01,reversal,-0.0816,0.2208,3,0
week,2017-W02,lowvol,0.02538,0.7109,1,1
week,2017-W02,momentum,-0.00348,0.5347,2,0
week,2017-W02,reversal,-0.00758,0.508,3,0
week,2017-W03,reversal,0.07044,0.5405,1,1
week,2017-W03,momentum,0.05699,0.4555,2,0
week,2017-W03,lowvol,0.03597,0.2863,3,0
week,2017-W04,momentum,0.07733,0.7194,1,1
week,2017-W04,reversal,0.04807,0.553,2,0
week,2017-W04,lowvol,0.01655,0.2724,3,0
week,2017-W05,momentum,0.0856,0.7803,1,1
week,2017-W05,reversal,0.02851,0.4056,2,0
week,2017-W05,lowvol,0.01263,0.2712,3,0
week,2017-W06,momentum,0.11583,0.8823,1,1
week,2017-W06,reversal,0.05046,0.6138,2,0
week,2017-W06,lowvol,0.0162,0.3926,3,0
week,2017-W07,momentum,0.1772,0.9345,1,1
week,2017-W07,reversal,0.04963,0.6579,2,0
week,2017-W07,lowvol,0.01458,0.4241,3,0
week,2017-W08,momentum,0.23446,0.9579,1,1
week,2017-W08,reversal,0.03998,0.6561,2,0
week,2017-W08,lowvol,0.02716,0.6078,3,0
week,2017-W09,momentum,0.07107,0.8016,1,1
week,2017-W09,lowvol,-0.011,0.5207,2,0
week,2017-W09,reversal,-0.01623,0.4755,3,0
week,2017-W10,lowvol,0.00217,0.638,1,1
week,2017-W10,momentum,-0.05934,0.2874,2,0
week,2017-W10,reversal,-0.08769,0.157,3,0
week,2017-W11,lowvol,0.0001,0.7161,1,1
week,2017-W11,reversal,-0.12254,0.184,2,0
week,2017-W11,momentum,-0.2406,0.0349,3,0
week,2017-W12,lowvol,-0.00419,0.8242,1,1
week,2017-W12,reversal,-0.1511,0.2976,2,0
week,2017-W12,momentum,-0.33561,0.022,3,0
week,2017-W13,lowvol,-0.0296,0.7438,1,1
week,2017-W13,reversal,-0.14505,0.2726,2,0
week,2017-W13,momentum,-0.23831,0.0672,3,0
week,2017-W14,lowvol,-0.04237,0.7845,1,1
week,2017-W14,reversal,-0.17448,0.2079,2,0
week,2017-W14,momentum,-0.19184,0.1484,3,0
week,2017-W15,lowvol,-0.03395,0.8165,1,1
week,2017-W15,momentum,-0.13671,0.4289,2,0
week,2017-W15,reversal,-0.14053,0.4158,3,0
week,2017-W16,lowvol,0.00484,0.7791,1,1
week,2017-W16,reversal,-0.01104,0.7212,2,0
week,2017-W16,momentum,-0.0217,0.6731,3,0
week,2017-W17,lowvol,0.01251,0.8276,1,1
week,2017-W17,momentum,-0.06683,0.5111,2,0
week,2017-W17,reversal,-0.15938,0.1557,3,0
week,2017-W18,lowvol,-0.01299,0.7785,1,1
week,2017-W18,reversal,-0.18479,0.1244,2,0
week,2017-W18,momentum,-0.18849,0.1106,3,0
week,2017-W19,lowvol,0.00424,0.5974,1,1
week,2017-W19,reversal,-0.06076,0.2801,2,0
week,2017-W19,momentum,-0.12818,0.0961,3,0
week,2017-W20,reversal,0.01883,0.655,1,1
week,2017-W20,lowvol,-0.0008,0.531,2,0
week,2017-W20,momentum,-0.2088,0.0167,3,0
week,2017-W21,reversal,0.08216,0.7872,1,1
week,2017-W21,lowvol,0.02838,0.4725,2,0
week,2017-W21,momentum,-0.091,0.0433,3,0
week,2017-W22,reversal,0.08734,0.6928,1,1
week,2017-W22,lowvol,0.03795,0.4209,2,0
week,2017-W22,momentum,-0.05688,0.0564,3,0
week,2017-W23,reversal,0.07439,0.6688,1,1
week,2017-W23,lowvol,0.02071,0.3753,2,0
week,2017-W23,momentum,-0.05101,0.0815,3,0
week,2017-W24,lowvol,0.00675,0.4568,1,1
week,2017-W24,reversal,-0.00119,0.4147,2,0
week,2017-W24,momentum,-0.04906,0.1777,3,0
week,2017-W25,lowvol,-0.01223,0.659,1,1
week,2017-W25,reversal,-0.06918,0.3885,2,0
week,2017-W25,momentum,-0.11447,0.2257,3,0
week,2017-W26,lowvol,0.01129,0.6853,1,1
week,2017-W26,momentum,-0.05333,0.411,2,0
week,2017-W26,reversal,-0.13877,0.1081,3,0
week,2017-W27,lowvol,0.03624,0.7715,1,1
week,2017-W27,momentum,-0.06323,0.3932,2,0
week,2017-W27,reversal,-0.16114,0.0848,3,0
week,2017-W28,lowvol,0.01485,0.6908,1,1
week,2017-W28,momentum,-0.02463,0.5071,2,0
week,2017-W28,reversal,-0.10095,0.1778,3,0
week,2017-W29,reversal,0.0542,0.5687,1,1
week,2017-W29,momentum,0.0271,0.4366,2,0
week,2017-W29,lowvol,0.0023,0.2734,3,0
week,2017-W30,reversal,0.10724,0.8694,1,1
week,2017-W30,momentum,0.01596,0.4357,2,0
week,2017-W30,lowvol,0.00133,0.3274,3,0
week,2017-W31,reversal,0.13588,0.884,1,1
week,2017-W31,momentum,0.01725,0.4255,2,0
week,2017-W31,lowvol,0.01733,0.3795,3,0
week,2017-W32,reversal,0.15071,0.8398,1,1
week,2017-W32,momentum,0.14061,0.7771,2,0
week,2017-W32,lowvol,0.03013,0.3976,3,0
week,2017-W33,momentum,0.20771,0.9282,1,1
week,2017-W33,reversal,0.11874,0.8039,2,0
week,2017-W33,lowvol,0.03971,0.4785,3,0
week,2017-W34,momentum,0.14786,0.8704,1,1
week,2017-W34,reversal,0.05393,0.6034,2,0
week,2017-W34,lowvol,0.02281,0.4188,3,0
week,2017-W35,lowvol,0.01007,0.5922,1,1
week,2017-W35,reversal,-0.02296,0.3717,2,0
week,2017-W35,momentum,-0.04589,0.2821,3,0
week,2017-W36,reversal,0.01831,0.5913,1,1
week,2017-W36,lowvol,0.00493,0.5049,2,0
week,2017-W36,momentum,-0.03486,0.2368,3,0
week,2017-W37,lowvol,0.00166,0.6602,1,1
week,2017-W37,reversal,-0.03733,0.4185,2,0
week,2017-W37,momentum,-0.07556,0.2131,3,0
week,2017-W38,lowvol,-0.00047,0.6198,1,1
week,2017-W38,reversal,-0.0819,0.1586,2,0
week,2017-W38,momentum,-0.11112,0.0885,3,0
week,2017-W39,lowvol,-0.01713,0.573,1,1
week,2017-W39,momentum,-0.06256,0.386,2,0
week,2017-W39,reversal,-0.07911,0.2561,3,0
week,2017-W41,momentum,0.01235,0.7264,1,1
week,2017-W41,lowvol,-0.01622,0.6562,2,0
week,2017-W41,reversal,-0.07727,0.3444,3,0
week,2017-W42,lowvol,0.0107,0.7082,1,1
week,2017-W42,momentum,-0.03307,0.5183,2,0
week,2017-W42,reversal,-0.06372,0.3768,3,0
week,2017-W43,lowvol,-0.01072,0.7817,1,1
week,2017-W43,reversal,-0.13985,0.257,2,0
week,2017-W43,momentum,-0.15828,0.182,3,0
week,2017-W44,lowvol,-0.03362,0.6692,1,1
week,2017-W44,reversal,-0.0771,0.476,2,0
week,2017-W44,momentum,-0.13922,0.1793,3,0
week,2017-W45,lowvol,-0.03785,0.7641,1,1
week,2017-W45,reversal,-0.07304,0.6273,2,0
week,2017-W45,momentum,-0.27965,0.0297,3,0
week,2017-W46,lowvol,-0.03977,0.6644,1,1
week,2017-W46,reversal,-0.09488,0.3952,2,0
week,2017-W46,momentum,-0.13862,0.3834,3,0
week,2017-W47,lowvol,-0.01826,0.6037,1,1
week,2017-W47,reversal,-0.04581,0.4301,2,0
week,2017-W47,momentum,-0.08054,0.2399,3,0
week,2017-W48,momentum,-0.02105,0.5627,1,1
week,2017-W48,lowvol,-0.02654,0.5252,2,0
week,2017-W48,reversal,-0.03814,0.4625,3,0
week,2017-W49,momentum,0.14772,0.9174,1,1
week,2017-W49,reversal,0.1,0.8321,2,0
week,2017-W49,lowvol,-0.02606,0.2182,3,0
week,2017-W50,momentum,0.2286,0.9783,1,1
week,2017-W50,reversal,0.09796,0.8652,2,0
week,2017-W50,lowvol,-0.04099,0.2635,3,0
week,2017-W51,momentum,0.06645,0.7917,1,1
week,2017-W51,reversal,0.06648,0.7489,2,0
week,2017-W51,lowvol,-0.03147,0.3557,3,0
week,2017-W52,reversal,0.02411,0.5732,1,1
week,2017-W52,lowvol,0.01292,0.5148,2,0
week,2017-W52,momentum,0.01064,0.4974,3,0
week,2018-W01,lowvol,-0.0146,0.734,1,1
week,2018-W01,momentum,-0.04302,0.6173,2,0
week,2018-W01,reversal,-0.06815,0.4888,3,0
week,2018-W02,lowvol,-0.03618,0.8468,1,1
week,2018-W02,reversal,-0.16489,0.4326,2,0
