granularity,period,factor,return,percentile,rank,is_best
week,2025-W09,reversal,0.00386,0.5413,2,0
week,2025-W09,rz_buy,-0.00767,0.4721,3,0
week,2025-W09,momentum,-0.19572,0.0241,4,0
week,2025-W10,lowvol,0.01213,0.7297,1,1
week,2025-W10,reversal,-0.0221,0.592,2,0
week,2025-W10,rz_buy,-0.02608,0.5396,3,0
week,2025-W10,momentum,-0.13319,0.1529,4,0
week,2025-W11,lowvol,-0.00086,0.8408,1,1
week,2025-W11,rz_buy,-0.07617,0.6548,2,0
week,2025-W11,momentum,-0.20108,0.1995,3,0
week,2025-W11,reversal,-0.22752,0.1213,4,0
week,2025-W12,lowvol,-0.01845,0.7849,1,1
week,2025-W12,rz_buy,-0.0366,0.7398,2,0
week,2025-W12,reversal,-0.17511,0.2152,3,0
week,2025-W12,momentum,-0.24708,0.0621,4,0
week,2025-W13,lowvol,-0.00395,0.7376,1,1
week,2025-W13,rz_buy,-0.03031,0.6276,2,0
week,2025-W13,reversal,-0.06204,0.4879,3,0
week,2025-W13,momentum,-0.1905,0.0536,4,0
week,2025-W14,lowvol,-0.00548,0.616,1,1
week,2025-W14,momentum,-0.02366,0.5296,2,0
week,2025-W14,reversal,-0.06065,0.3262,3,0
week,2025-W14,rz_buy,-0.0705,0.3015,4,0
week,2025-W15,reversal,0.1584,0.6756,1,1
week,2025-W15,rz_buy,0.08018,0.3914,2,0
week,2025-W15,lowvol,0.033,0.2081,3,0
week,2025-W15,momentum,-0.07953,0.1392,4,0
week,2025-W16,momentum,0.19503,0.8716,1,1
week,2025-W16,reversal,0.12714,0.7182,2,0
week,2025-W16,rz_buy,0.06607,0.5178,3,0
week,2025-W16,lowvol,0.01082,0.2676,4,0
week,2025-W17,reversal,0.08657,0.729,1,1
week,2025-W17,momentum,0.07101,0.6392,2,0
week,2025-W17,rz_buy,0.06306,0.6142,3,0
week,2025-W17,lowvol,0.0084,0.3658,4,0
week,2025-W18,reversal,0.20343,0.9151,1,1
week,2025-W18,momentum,0.0866,0.6689,2,0
week,2025-W18,rz_buy,0.07264,0.595,3,0
week,2025-W18,lowvol,0.01031,0.3105,4,0
week,2025-W19,reversal,0.12188,0.8648,1,1
week,2025-W19,momentum,0.11554,0.8375,2,0
week,2025-W19,lowvol,0.02345,0.516,3,0
week,2025-W19,rz_buy,0.01014,0.4268,4,0
week,2025-W20,reversal,0.04201,0.6038,1,1
week,2025-W20,lowvol,0.01576,0.5117,2,0
week,2025-W20,momentum,0.00829,0.4438,3,0
week,2025-W20,rz_buy,-0.00508,0.3875,4,0
week,2025-W21,reversal,0.00479,0.523,1,1
week,2025-W21,lowvol,-0.00483,0.5103,2,0
week,2025-W21,rz_buy,-0.0337,0.3131,3,0
week,2025-W21,momentum,-0.11683,0.0678,4,0
week,2025-W22,reversal,0.05801,0.5647,1,1
week,2025-W22,lowvol,0.0098,0.3822,2,0
week,2025-W22,rz_buy,-0.00122,0.3136,3,0
week,2025-W22,momentum,-0.11247,0.0308,4,0
week,2025-W23,rz_buy,0.03442,0.5427,1,1
week,2025-W23,lowvol,-0.00087,0.2965,2,0
week,2025-W23,reversal,-0.00644,0.2951,3,0
week,2025-W23,momentum,-0.02811,0.1769,4,0
week,2025-W24,rz_buy,0.05895,0.6033,1,1
week,2025-W24,lowvol,0.02723,0.4654,2,0
week,2025-W24,reversal,0.00949,0.3482,3,0
week,2025-W24,momentum,-0.07581,0.0657,4,0
week,2025-W25,rz_buy,0.05333,0.4533,1,1
